Ranking,Address,Holdings,ZERROS1E1,ZERROS1E2,ZERROS1E3,ZERROS1E4,ZERROS1E5,ZERROS1E6,ZERROS1E7,ZERROS1E8,ZERROS1E9,ZERROS2E1,ZERROS2E2
1,0x5564Caa789AD35E72b1612D1Bf78dD295b24605b,45,0,0,0,0,0,0,0,0,0,0,45
2,0x2Aa7C65C086b70B6963f9506C179752F88Cb3d63,43,0,0,0,0,0,0,0,0,0,0,43
3,0x95668d6D37530A20bf4Bf09b08415f97dCC382D7,40,0,0,0,0,0,0,0,0,0,0,40
4,0x45fF97387f7190711b4C6982c0ff6e54cB7a9d8d,38,0,0,0,0,0,0,0,0,0,0,38
5,0xbB63203FA253B667F1d8D591954F5a14ba5613E2,30,3,3,3,3,2,2,4,2,2,2,4
6,0x54E5C66601b8e9386f0D74b4BD2932A3CFcDC833,12,1,0,0,0,0,0,0,0,0,0,11
7,0x6B98d8Fc150E7fb90798293FB03bB83f02Cf49BB,10,0,0,1,1,1,1,1,1,1,1,2
8,0x8655a759915442AB3b204B2290874249537d2e9C,10,0,0,1,1,1,1,1,1,1,2,1
9,0x52701f730076f36dE738ED4e61F2d31B08451b5C,9,0,0,1,1,1,1,1,1,1,1,1
10,0x54406a9c734Cd3589CbF1D36142FF8b30CAb54A0,9,0,0,1,1,1,1,1,1,1,1,1
11,0x8be9a90b8244e6bE816607D2100B9DbD6Cdb8f2F,9,0,0,1,1,1,1,1,1,1,1,1
12,0xaCCFE20Db5cb111f1d699F955Abf6A3EB3fFA5FE,9,0,0,1,1,1,1,1,1,1,1,1
13,0x226BBe2c666D06d51afE489b4354C25BD920E8cd,9,0,0,1,1,1,1,1,1,1,1,1
14,0x52474705f79882291030A8571EcfEccc01432a29,9,0,0,1,1,1,1,1,1,1,1,1
15,0x03Ba34f6Ea1496fa316873CF8350A3f7eaD317EF,9,0,0,1,1,1,1,1,1,1,1,1
16,0x100D5164fc8c65dF61FEA01330948f435bb12100,9,0,0,1,1,1,1,1,1,1,1,1
17,0x1666DF4981d2E27757c0831a3D421a0dC12D8c53,9,0,0,1,1,1,1,1,1,1,1,1
18,0xBE5B34087A392e8343Bc86D4Ef0CC42af5c20363,9,0,0,1,1,1,1,1,1,1,1,1
19,0x7c1A57a5Dd50F399a802A304a3E8955c8421D5e7,9,0,0,1,1,1,1,1,1,1,1,1
20,0xc8561CcE222c37B49F6De5F143f90090aa020BAB,9,0,0,1,1,1,1,1,1,1,1,1
21,0xd5815EFd9EabA1B5c0D631D4Fa49006F6224A059,9,0,0,1,1,1,1,1,1,1,1,1
22,0xDf846767d5Ec7324730ce13d1773C99e584AA64F,9,0,0,1,1,1,1,1,1,1,1,1
23,0x55078d42c77873910228B3D2F83cED132606dEf8,9,0,1,1,1,1,1,1,1,1,0,1
24,0xE7280b1f9416CA93AaEbcF51212A2D4a8cc8431b,9,0,0,1,1,1,2,1,1,1,0,1
25,0x3ae863E332a070A9D373105dAB58f80B0d4deaB0,8,0,0,1,1,1,1,1,1,0,1,1
26,0x7Edc87C05f1D2793759fAACbA829493A3b802Ee0,8,0,0,1,1,1,1,1,1,0,1,1
27,0x1a54C199D96b5b2Df4e73B73627D55153FD8213c,8,0,0,1,1,0,1,1,1,1,1,1
28,0xa31E78358C267Cc1041A68fbC7EE7ede04e82ee2,8,0,0,1,1,1,1,1,1,1,0,1
29,0xC0A2f5096D5Ddb2F05cae5C793aD1493A28d5321,8,0,0,2,0,1,1,0,1,1,1,1
30,0xAd52115f4B45fF0E976Ff6c11692b6aCBfFB3C0c,8,0,0,1,1,1,0,1,1,1,1,1
31,0xE9f2A91b26b7B11593a7cBcd7627041f20cF84a5,8,0,0,1,1,1,1,1,0,1,1,1
32,0xbea1417176F437ca17D23628E8952Bf2fa7240b2,8,3,2,2,1,0,0,0,0,0,0,0
33,0x1eb9C2902D597c383a0575Fc5c531E1169ac5a1e,7,0,0,1,0,1,1,1,0,1,1,1
34,0xd1E6fFb7Cb99E5aE9a2e989a590DAE3749799257,7,0,0,1,0,0,1,1,1,1,1,1
35,0x55D554BfdE1E61c72fa3C9059cDf3f739d92679a,7,0,0,1,1,1,1,0,1,1,0,1
36,0x15084F08B5Fc627F01f69ADBa994651962ab9c18,7,0,0,1,1,1,0,1,1,0,1,1
37,0x533e408C6f6267Ff008C7e22DA2Ec476e67cdad5,7,0,0,1,1,1,1,0,1,0,1,1
38,0x18a7f79cBE1EAB2B8d3F37c2851ea2ab65503438,7,0,0,1,1,1,1,0,0,0,2,1
